,country,industry,marketcap,price,sector,avgvol
1179,USA,Oil & Gas Drilling & Exploration,1164,22,Basic Materials,430
2021,USA,Business Services,392,11.33,Services,430
2167,UnitedKingdom,Publishing - Books,7950,9.82,Services,430
2353,USA,Information Technology Services,412,8.15,Technology,430
2392,USA,Oil & Gas Refining & Marketing,550,7.7,Basic Materials,430
2480,China,Real Estate Development,598,6.81,Financial,430
2528,USA,Trucking,187,6.4,Services,430
2760,Greece,Major Integrated Oil & Gas,175,4.3,Basic Materials,430
2980,USA,Oil & Gas Equipment & Services,108,3.11,Basic Materials,430
3228,USA,Biotechnology,38,1.86,Healthcare,430
3556,USA,Biotechnology,11,0.35,Healthcare,430
61,USA,Biotechnology,1597,48,Healthcare,420
196,USA,Specialty Chemicals,3541,43.5,Basic Materials,420
332,Colombia,Foreign Regional Banks,9611,39.66,Financial,420
618,Canada,Textile - Apparel Clothing,7220,32.3,Consumer Goods,420
650,USA,Entertainment - Diversified,4062,31.74,Services,420
676,USA,Internet Software & Services,1729,31.22,Technology,420
679,USA,Home Furnishings & Fixtures,1488,31.2,Consumer Goods,420
980,USA,Heavy Construction,1312,25.35,Industrial Goods,420
1141,USA,Diversified Communication Services,922,22.5,Technology,420
1214,USA,Oil & Gas Pipelines,2195,21.47,Basic Materials,420
1239,USA,Sporting Goods Stores,1549,21.08,Services,420
1647,USA,Surety & Title Insurance,726,15.98,Financial,420
2100,Argentina,Restaurants,2174,10.35,Services,420
2106,USA,Credit Services,365,10.3,Financial,420
2540,USA,Asset Management,456,6.23,Financial,420
2598,Brazil,Electric Utilities,7710,5.7,Utilities,420
3156,Israel,Biotechnology,374,2.28,Healthcare,420
104,USA,Biotechnology,1918,46.47,Healthcare,410
346,USA,Farm & Construction Machinery,1397,39.34,Industrial Goods,410
458,USA,Biotechnology,1569,36.28,Healthcare,410
822,USA,Oil & Gas Refining & Marketing,2814,28.4,Basic Materials,410
886,USA,Regional - Southeast Banks,2247,27.12,Financial,410
887,USA,REIT - Hotel/Motel,1635,27.09,Financial,410
1059,USA,Waste Management,2117,23.94,Industrial Goods,410
1081,USA,Business Services,959,23.52,Services,410
1238,USA,Biotechnology,790,21.11,Healthcare,410
1293,USA,Medical Appliances & Equipment,758,20.45,Healthcare,410
1777,USA,Savings & Loans,1171,14.45,Financial,410
1879,USA,Credit Services,707,13.18,Financial,410
1912,USA,Rental & Leasing Services,1177,12.7,Services,410
2389,USA,Telecom Services - Domestic,800,7.73,Technology,410
